image_name,L,a,b,treatment,rep,before_after,date_collected,trial_duration_days,date_photo
after_14Oct_NL3a,57,4,0,NL,3,after,10/14/22,7,10/20/22
after_14Oct_NL3b,62,7,5,NL,3,after,10/14/22,7,10/20/22
after_14Oct_NL3b,66,4,4,NL,3,after,10/14/22,7,10/20/22
after_14Oct_NL3b,66,4,2,NL,3,after,10/14/22,7,10/20/22
after_14Oct_NL3c,60,6,2,NL,3,after,10/14/22,7,10/20/22
after_14Oct_NL3c,61,3,1,NL,3,after,10/14/22,7,10/20/22
after_14Oct_NL3c,61,4,0,NL,3,after,10/14/22,7,10/20/22
after_14Oct_NL3d,61,3,1,NL,3,after,10/14/22,7,10/20/22
after_14Oct_NL3d,60,4,2,NL,3,after,10/14/22,7,10/20/22
after_14Oct_NL3d,60,4,1,NL,3,after,10/14/22,7,10/20/22
after_14Oct_NL3e,61,4,2,NL,3,after,10/14/22,7,10/20/22
after_14Oct_NL3e,55,5,1,NL,3,after,10/14/22,7,10/20/22
after_14Oct_NL3e,61,6,3,NL,3,after,10/14/22,7,10/20/22
after_14Oct_NL3f,59,5,3,NL,3,after,10/14/22,7,10/20/22
after_14Oct_NL3f,63,4,0,NL,3,after,10/14/22,7,10/20/22
after_14Oct_NL3f,62,5,1,NL,3,after,10/14/22,7,10/20/22
after_14Oct_NL4a,63,4,4,NL,4,after,10/14/22,7,10/20/22
after_14Oct_NL4a,56,8,5,NL,4,after,10/14/22,7,10/20/22
after_14Oct_NL4a,60,3,0,NL,4,after,10/14/22,7,10/20/22
after_14Oct_NL4b,58,6,4,NL,4,after,10/14/22,7,10/20/22
after_14Oct_NL4b,59,3,1,NL,4,after,10/14/22,7,10/20/22
after_14Oct_NL4c,63,1,-3,NL,4,after,10/14/22,7,10/20/22
after_14Oct_NL4c,67,5,7,NL,4,after,10/14/22,7,10/20/22
after_14Oct_NL4c,66,6,6,NL,4,after,10/14/22,7,10/20/22
after_14Oct_NL4d,70,5,4,NL,4,after,10/14/22,7,10/20/22
after_14Oct_NL4d,75,8,8,NL,4,after,10/14/22,7,10/20/22
after_14Oct_NL4e,65,7,5,NL,4,after,10/14/22,7,10/20/22
after_14Oct_NL4e,65,4,2,NL,4,after,10/14/22,7,10/20/22
after_14Oct_NL4e,60,6,7,NL,4,after,10/14/22,7,10/20/22
after_14Oct_NL4f,62,4,2,NL,4,after,10/14/22,7,10/20/22
after_14Oct_NL4f,67,6,7,NL,4,after,10/14/22,7,10/20/22
after_14Oct_NL4g,59,7,4,NL,4,after,10/14/22,7,10/20/22
after_14Oct_NL4g,66,5,4,NL,4,after,10/14/22,7,10/20/22
after_14Oct_NL4g,56,10,6,NL,4,after,10/14/22,7,10/20/22
after_14Oct_NL4h,59,6,5,NL,4,after,10/14/22,7,10/20/22
after_14Oct_NL4h,64,5,4,NL,4,after,10/14/22,7,10/20/22
