image_name,L,a,b,treatment,rep,before_after,date_collected,trial_duration_days,date_photo
after_14Oct_NL2d,62,5,2,NL,2,after,10/14/22,7,10/20/22
after_14Oct_NL2e,59,2,-1,NL,2,after,10/14/22,7,10/20/22
after_14Oct_NL2e,66,5,4,NL,2,after,10/14/22,7,10/20/22
after_14Oct_NL2e,61,6,5,NL,2,after,10/14/22,7,10/20/22
after_14Oct_NL2f,59,4,0,NL,2,after,10/14/22,7,10/20/22
after_14Oct_NL2f,59,7,4,NL,2,after,10/14/22,7,10/20/22
after_14Oct_NL2f,61,3,2,NL,2,after,10/14/22,7,10/20/22
after_14Oct_NL3a,63,8,5,NL,3,after,10/14/22,7,10/20/22
after_14Oct_NL3a,59,6,5,NL,3,after,10/14/22,7,10/20/22
after_14Oct_NL3a,62,6,4,NL,3,after,10/14/22,7,10/20/22
after_14Oct_NL3a,57,4,0,NL,3,after,10/14/22,7,10/20/22
after_14Oct_NL3b,62,7,5,NL,3,after,10/14/22,7,10/20/22
after_14Oct_NL3b,66,4,4,NL,3,after,10/14/22,7,10/20/22
after_14Oct_NL3b,66,4,2,NL,3,after,10/14/22,7,10/20/22
after_14Oct_NL3c,60,6,2,NL,3,after,10/14/22,7,10/20/22
after_14Oct_NL3c,61,3,1,NL,3,after,10/14/22,7,10/20/22
after_14Oct_NL3c,61,4,0,NL,3,after,10/14/22,7,10/20/22
after_14Oct_NL3d,61,3,1,NL,3,after,10/14/22,7,10/20/22
after_14Oct_NL3d,60,4,2,NL,3,after,10/14/22,7,10/20/22
after_14Oct_NL3d,60,4,1,NL,3,after,10/14/22,7,10/20/22
after_14Oct_NL3e,61,4,2,NL,3,after,10/14/22,7,10/20/22
after_14Oct_NL3e,55,5,1,NL,3,after,10/14/22,7,10/20/22
after_14Oct_NL3e,61,6,3,NL,3,after,10/14/22,7,10/20/22
after_14Oct_NL3f,59,5,3,NL,3,after,10/14/22,7,10/20/22
after_14Oct_NL3f,63,4,0,NL,3,after,10/14/22,7,10/20/22
after_14Oct_NL3f,62,5,1,NL,3,after,10/14/22,7,10/20/22
after_14Oct_NL4a,63,4,4,NL,4,after,10/14/22,7,10/20/22
after_14Oct_NL4a,56,8,5,NL,4,after,10/14/22,7,10/20/22
after_14Oct_NL4a,60,3,0,NL,4,after,10/14/22,7,10/20/22
after_14Oct_NL4b,58,6,4,NL,4,after,10/14/22,7,10/20/22
after_14Oct_NL4b,59,3,1,NL,4,after,10/14/22,7,10/20/22
after_14Oct_NL4c,63,1,-3,NL,4,after,10/14/22,7,10/20/22
after_14Oct_NL4c,67,5,7,NL,4,after,10/14/22,7,10/20/22
after_14Oct_NL4c,66,6,6,NL,4,after,10/14/22,7,10/20/22
after_14Oct_NL4d,70,5,4,NL,4,after,10/14/22,7,10/20/22
after_14Oct_NL4d,75,8,8,NL,4,after,10/14/22,7,10/20/22
after_14Oct_NL4e,65,7,5,NL,4,after,10/14/22,7,10/20/22
after_14Oct_NL4e,65,4,2,NL,4,after,10/14/22,7,10/20/22
after_14Oct_NL4e,60,6,7,NL,4,after,10/14/22,7,10/20/22
after_14Oct_NL4f,62,4,2,NL,4,after,10/14/22,7,10/20/22
after_14Oct_NL4f,67,6,7,NL,4,after,10/14/22,7,10/20/22
after_14Oct_NL4g,59,7,4,NL,4,after,10/14/22,7,10/20/22
after_14Oct_NL4g,66,5,4,NL,4,after,10/14/22,7,10/20/22
after_14Oct_NL4g,56,10,6,NL,4,after,10/14/22,7,10/20/22
after_14Oct_NL4h,59,6,5,NL,4,after,10/14/22,7,10/20/22
after_14Oct_NL4h,64,5,4,NL,4,after,10/14/22,7,10/20/22
20Oct_fresh_a,51,14,4,NA,NA,before,10/20/22,0,10/20/22
20Oct_fresh_a,53,44,5,NA,NA,before,10/20/22,0,10/20/22
20Oct_fresh_a,50,9,2,NA,NA,before,10/20/22,0,10/20/22
20Oct_fresh_b,51,8,0,NA,NA,before,10/20/22,0,10/20/22
20Oct_fresh_b,60,11,6,NA,NA,before,10/20/22,0,10/20/22
20Oct_fresh_c,51,11,1,NA,NA,before,10/20/22,0,10/20/22
20Oct_fresh_c,53,9,5,NA,NA,before,10/20/22,0,10/20/22
20Oct_fresh_c,56,12,8,NA,NA,before,10/20/22,0,10/20/22
20Oct_fresh_d,50,12,5,NA,NA,before,10/20/22,0,10/20/22
20Oct_fresh_d,54,8,2,NA,NA,before,10/20/22,0,10/20/22
20Oct_fresh_e,49,10,2,NA,NA,before,10/20/22,0,10/20/22
20Oct_fresh_e,46,17,2,NA,NA,before,10/20/22,0,10/20/22
20Oct_fresh_f,51,16,5,NA,NA,before,10/20/22,0,10/20/22
20Oct_fresh_f,53,15,8,NA,NA,before,10/20/22,0,10/20/22
20Oct_fresh_f,49,14,4,NA,NA,before,10/20/22,0,10/20/22
20Oct_fresh_g,52,14,6,NA,NA,before,10/20/22,0,10/20/22
20Oct_fresh_g,50,6,0,NA,NA,before,10/20/22,0,10/20/22
20Oct_fresh_g,52,13,5,NA,NA,before,10/20/22,0,10/20/22
20Oct_fresh_h,56,4,-2,NA,NA,before,10/20/22,0,10/20/22
20Oct_fresh_h,51,12,5,NA,NA,before,10/20/22,0,10/20/22
20Oct_fresh_i,46,17,5,NA,NA,before,10/20/22,0,10/20/22
20Oct_fresh_i,46,14,5,NA,NA,before,10/20/22,0,10/20/22
20Oct_fresh_i,51,12,5,NA,NA,before,10/20/22,0,10/20/22
20Oct_fresh_j,50,3,-5,NA,NA,before,10/20/22,0,10/20/22
20Oct_fresh_j,53,12,5,NA,NA,before,10/20/22,0,10/20/22
20Oct_fresh_k,63,13,10,NA,NA,before,10/20/22,0,10/20/22
20Oct_fresh_k,61,10,7,NA,NA,before,10/20/22,0,10/20/22
20Oct_fresh_k,65,8,7,NA,NA,before,10/20/22,0,10/20/22
20Oct_fresh_l,52,7,1,NA,NA,before,10/20/22,0,10/20/22
20Oct_fresh_l,52,13,5,NA,NA,before,10/20/22,0,10/20/22
20Oct_fresh_m,52,18,7,NA,NA,before,10/20/22,0,10/20/22
20Oct_fresh_m,52,13,6,NA,NA,before,10/20/22,0,10/20/22
20Oct_fresh_n,61,14,10,NA,NA,before,10/20/22,0,10/20/22
20Oct_fresh_n,56,11,7,NA,NA,before,10/20/22,0,10/20/22
20Oct_fresh_n,52,11,2,NA,NA,before,10/20/22,0,10/20/22
20Oct_fresh_o,49,8,1,NA,NA,before,10/20/22,0,10/20/22
20Oct_fresh_o,52,10,3,NA,NA,before,10/20/22,0,10/20/22
20Oct_fresh_p,50,8,-1,NA,NA,before,10/20/22,0,10/20/22
20Oct_fresh_p,45,5,-6,NA,NA,before,10/20/22,0,10/20/22
20Oct_fresh_p,51,12,4,NA,NA,before,10/20/22,0,10/20/22
20Oct_fresh_q,44,6,-5,NA,NA,before,10/20/22,0,10/20/22
20Oct_fresh_q,52,14,7,NA,NA,before,10/20/22,0,10/20/22
20Oct_fresh_r,49,12,3,NA,NA,before,10/20/22,0,10/20/22
20Oct_fresh_r,53,6,-1,NA,NA,before,10/20/22,0,10/20/22
20Oct_fresh_r,54,14,7,NA,NA,before,10/20/22,0,10/20/22
